text,encoded
"Easy process but problems with booking a fitting appointment. The website made it easy to find the correct tyre specifications for my vehicle, and to place the order. I was offered a number of fitting options and chose ATS tyres, then selected a time slot to suit my convenience. Unfortunately the time slot I selected was not available at ATS and I had to wait a further two days for a convenient time, at which point the tyres were fitted quickly and professionally. Would have given five stars apart from being offered a fitting time that they couldn't honour.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Just booked a slot at local ATS and that's it,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Easy to order and good to get a time slot,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Easy to navigate website, good selection of tyres at competitive prices with all the information you need to make your choice !","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"This is the third time I have used [REDACTED], the supply and fitting has always been excellent.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Competitive prices. Easy transaction and choice of location for fitting.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Great prices great service,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Good price although when I attended ats it would appear they had a cheaper deal on!,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
It was quick and easy to do it. Good choice of tyres and you don't have to wait more than a week or 10 days to fit tyres. Excellent service. Thanks.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"excellent service, speedy and great price","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Decent prices and easy to use.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Good price friendly fitting. Good prices and fitted by small local friendly garage, much better experience than some of the big fitting stations.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"Very easy to use, cheaper than direct with garage, keep you informed when garage make errors /double book etc","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Competitive prices and the garage was excellent.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Quality tyres and a great price, fitting was done by the appointed garage at the arranged time. I would use this service again!","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]"
"Speedy efficient service. Very efficient and friendly garage in Moreton, Wirral. Tyres fitted in 20 minutes. Very quick.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"Quick and easy All booked online, went to a local garage who were very good I had just washed the car but not the wheel as the spare was on at the time I washed it They even washed the wheel before putting it back on with the new tyre Very happy","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
will use again. good prices and great choice of participating garages. Fantastic service from the garage also,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Very easy to order online Great prices Fitted new tyres at a local garage Excellent service all round,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Good prices and easy transaction. Good price. Smooth transaction. Garage was good too.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Excellent, very straight forward, tyres ordered and fitted at local garage no hassle and great prices","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Fitted by Elgin Motors in Rosyth. Great service and reasonable price.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Excellent tyres for a good price fitted conveniently.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
Shocking service with garages. Sorted it out with garage myself,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Rubbish not the usual service. The tyres were two days late, and Black didn’t do much to help. This meant I would need to go to an alternative fitting station and it was suggested that I pick them up in my car (and take them to the alternate fitting station). I contacted the original fitting station who were very helpful and agreed to fit the tyres for me. Fitting station 10/10 👍😀[REDACTED]. 0/10👎🏻 😡 Finally I had no follow up from [REDACTED] to explain/apologise for the rubbish “service”..........","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Used before, good prices, easy to navigate website","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"So convenient, easily found the right tyre at a great cost and the local garage that fitted them (Xhail Motors) were brilliantly efficient. Thank you, I'll be back!","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0]"
"Excellent web site, easy to arrange and good prices","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Good prices and fitters,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
2nd time with [REDACTED] a saving of over £75 on each tyre very professional and easy to deal with,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Easy to use tyre fitting broker. Easily booked for tyre fitting at my local ATS branch and the price was significantly less than an ATS quote,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"Very good service, although not too keen on being called ""love"" all the time and having my back patted.The tyres were as ordered, and all four were replaced in one hour.What a pity Swan Garage has to endure that ghastly car park.Price wise - excellent.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
Good service and price,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
would recommend. Good value and garage close by and very helpful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Customer greeting was 1st class and work carried out within specified time.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Excellent web page. Ease of use. I got the right tyres at the right price.I had these tyres fitted at ATS Ilkeston and the fitter Brian was exceptional with a great customer service.Thank you.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
Good prices and excellent service.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Great value tyres great quality fast delivery to any tyre fitter at a time and day to suit you , will use again","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Excellent service, couldn't fault anything. Cheapest website by far. Very informative through the whole process.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"[REDACTED] were efficient & courteous, however, 3 things let them down.1. The original date that was booked had to be changed2. The original tyre that I chose from the website had an incorrect speed rating for my car (should have been Y but website showed X).3. The quality of the garage that carried out the tyre change was a poorly run (back street type) garage where the housekeeping within was so poor that it was bordering on a dangerous environment to work in.","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
good price good service from garage,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Very easy from start to finish,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"second hand tyres do not buy. purchased a set of bridgestone tyres, was looking forward to putting them on a project car, but what I received was some old, dirty tyres with no manufacture markings, if I didn't know any better I'd think they were second hand tyres","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"I will use [REDACTED] again. Quick, easy and great value","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Received an email from [REDACTED] just after 5;30pm the day before the fitting stating that the tyres hadn't been delivered. This gave me no opportunity to cancel the order that day and left me fretting as i was going on a driving holiday the next day. As it happened the email was in error as the tyres actually had been delivered, just not signed for. I was still unnecessarily stressed though and therefore only 7/10 despite the god price","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PRICE WAS COMPETATIVE, FITTING WAS EASY","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Really competitive prices. Easy to follow web site for the purchase.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Great value easy fast service the only way to get tyres not going to even look elsewhere in future,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Easy to use website, very good prices, easy to arrange appointments and good service from ATS Llandrindod Wells.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Great price. Great service,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Good prices & they use the local garage,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"Used a few times previously and never been let down. Fast, efficient and good value for money.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Used a few times now with lodge tyres fitting and all’s good on. 275 35 19 which is always a challenge for the fitter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
I have used [REDACTED] several times. I have used [REDACTED] because they have a good selection of tyres at a fair price. Also they offer fitting near to home again from a selection of work shops.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
My tyre was changed 1hour 45 mins after my appointment . Plus i turned up 20 mins early. Very poor service. Stick to independent tyre garages.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"The process is easy, choose the tyres , delivered to a garage near your house, fitted with no issues. Would highly recommend","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Excellent service and good prices highly recommend and will use again,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
I got a reassuring confidence that I was choosing the right tyre at the right price with a known fitting time I selected. That's all I wanted.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Excellent deal done with minimum fuss. Original tyres agreed we’re unavailable and more expensive alternatives provided at no extra cost.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Great price and great fitting service at the Fleet Service Centre.Would highly recommend,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Tyre not at garage when you said it would be even though you had sent me multiple messages about my fitting. You then sent me another fitting time the same day after fitting company had rang me to tell me the tyre would not be with them till the following Monday. Very disappointed in the service this time. Have bought from you before and received much better service.,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Excellent service and they were exactly the tyres I needed at a very good price,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Good price, good selection of appointments and due to unforeseen problems with my locking wheel nut on one of the wheels the guys were able to find a slot the next day when my second tyre could be fitted.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
was given time and date arrived tyers were done found my tracing was out asked if I would like it done the showed me how far it was out .igave them the go head to doit all done with in 1 hour very good service,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
back again. Used [REDACTED] again as they provide competitive prices and several choices of fitting centres.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
I purchased 4 tyres to replace my 4 winter tyres. The online ordering system worked smoothly and I received a swift confirmation of an appointment on my chosen date with my preferred garage. All my tyres were changed and balanced competently by The Dent Centre in Glasgow. I would not hesitate to recommend [REDACTED] if you're thinking of purchasing new tyres.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Excellent service, most convenient and good prices.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Good choice,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Delivered on time and ready for fitting. Good price too.,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Good priceservice. Good price. Good service. Only issue was tyres inflated way above spec and each tyre different.,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Bad experience this time. Garage didnt balance wheels properly. Took car back and they rebalanced- car was even worse. I drove 500 miles to Scotland with a wobbly steering wheel. A [REDACTED] dealer in Scotland has hopefully sorted it today. I complained and to date no one at [REDACTED] has resolved my complaint after a chase up email sent yesterday. Poor service. However this is the first time I’ve had an issue like this hence I’ve awarded a 5 not a 0 which frankly is all you deserve on this showing !!,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
"Tyres delivered and professionally fitted at my favourite garage nearby within 48 hours of my order, which is excellent. This is my second set purchased from [REDACTED] and confirm the quality of their own selected brands was very good for the price on both occasions.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0]"
"good price. easy to order. finance available and when I went to have the tyres fitted, it was a smooth experience. Really good","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Good price. Easy service.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Really quick delivery. Great price. All the right info up front. Will defo use again. Thanks,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"I ordered the tyres online at the weekend and after choosing the tyres and the fitter I was given the option of time on the following Thursday.I could either have the morning or the afternoon on a first-come first-served basis. I chose a morning slot and turned up at about 10.30.On arrival I was told the tyres were not there yet so left the car with fitters and walked nearly 3 miles home ( I need the exercise anyway)I later got a phone call to say the car was ready tyres had been fitted and returned to get the car.The tyres are fine, a [REDACTED] recommendation.that the tyres weren't actually at the fitters four days after ordering was disappointing hence the three stars rather than five. I should at least have been notified that the tyres would not be there in the morning and I would have rearranged a different day for the fitting.","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Unfortunately rated only as 3 star as they failed to deliver my tyres to the garage on time meaning I wasted time going twice. Shame as previously been great service,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Excellent service on time at garage tyres are great,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
Tyres are competitively priced.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
The services was easy to use from start to finish and the tyres were fitted at exactly the time requested. Very easy and pleasant experience.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Good price prompt service what more do you need,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
good customer service at b/circles and garage of fitment,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Speed of service and huge choice of products.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Easy and great value,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Comprehensive range of brands at great prices, and easy to use. I used Wiltshire Tyres to fit mine, great service from these guys!","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Great price. These tyres look fabulous on my car. Would definitely use [REDACTED] again.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Really easy and convenient to arrange,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Basically it worked. I bought 4 tyres, and saved over £60 including fitting locally","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Excellent service.Got the additional 4 wheel alignment. Wow really didn't expect this quality of work. Amazing.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Good service and price. ‚ÄòFaceless‚Äô company,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Easy and very local service,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"Good price, easy process. Great service from SL.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
